"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2010","2010",221,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2011","2011",213,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2012","2012",205,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2013","2013",203,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2014","2014",201,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2015","2015",202,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2016","2016",202,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2017","2017",198,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2018","2018",204,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2019","2019",194,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","GBR","United Kingdom","2020","2020",222,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2010","2010",280,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2011","2011",279,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2012","2012",272,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2013","2013",276,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2014","2014",275,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2015","2015",274,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2016","2016",281,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2017","2017",281,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2018","2018",277,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2019","2019",273,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","USA","United States","2020","2020",336,,
"AVDMAVOI","Avoidable mortality (preventable+treatable)","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2010","2010",212,,
