"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2010","2010",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2011","2011",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2012","2012",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2013","2013",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2014","2014",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2015","2015",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2016","2016",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2017","2017",82.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2018","2018",82.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2019","2019",82.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2020","2020",83.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2021","2021",83.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2010","2010",81.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2011","2011",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2012","2012",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2013","2013",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2014","2014",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2015","2015",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2016","2016",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2017","2017",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2018","2018",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2019","2019",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2020","2020",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2010","2010",79.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2011","2011",79.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2012","2012",80.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2013","2013",80.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2014","2014",80.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2015","2015",80.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2016","2016",80.9,,
