"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2010","2010",42.5,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2011","2011",43.4,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2012","2012",43.1,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2013","2013",41.4,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2014","2014",45,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2015","2015",46.4,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2016","2016",45.6,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2017","2017",45.8,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2018","2018",45.5,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2019","2019",47.9,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2010","2010",48.5,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2011","2011",47.8,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2012","2012",47.7,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2013","2013",48.1,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2014","2014",50.4,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2015","2015",48.1,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2016","2016",46.9,,
"CICDEXTC","External causes of mortality","TXCMILTX","Deaths per 100 000 population (standardised rates)","CAN","Canada","2017","2017",50.4,,
