"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","AUS","Australia","2010","2010",131,"B","Break"
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","AUS","Australia","2011","2011",129.5,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","AUS","Australia","2012","2012",129.6,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","AUS","Australia","2013","2013",129.7,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","AUS","Australia","2014","2014",43.9,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","AUS","Australia","2015","2015",42.5,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","AUS","Australia","2016","2016",44.1,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","AUS","Australia","2017","2017",43.3,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","AUS","Australia","2018","2018",41.7,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","AUS","Australia","2019","2019",41.2,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","AUS","Australia","2020","2020",41.2,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","CAN","Canada","2010","2010",93.4,"B","Break"
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","CAN","Canada","2011","2011",93.2,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","CAN","Canada","2012","2012",93.1,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","CAN","Canada","2013","2013",93.1,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","CAN","Canada","2014","2014",93.5,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","CAN","Canada","2015","2015",93.1,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","CAN","Canada","2016","2016",90.4,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","CAN","Canada","2017","2017",84.3,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","CAN","Canada","2018","2018",56.5,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","CAN","Canada","2019","2019",50.5,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","CAN","Canada","2020","2020",49.8,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DNK","Denmark","2010","2010",54.4,"B","Break"
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DNK","Denmark","2011","2011",56.8,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DNK","Denmark","2012","2012",55.5,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DNK","Denmark","2013","2013",56.2,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DNK","Denmark","2014","2014",54.8,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DNK","Denmark","2015","2015",54.9,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DNK","Denmark","2016","2016",54.9,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DNK","Denmark","2017","2017",55.3,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DNK","Denmark","2018","2018",56,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DNK","Denmark","2019","2019",54.4,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DNK","Denmark","2020","2020",59.2,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","FRA","France","2010","2010",38,"B","Break"
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","FRA","France","2011","2011",37.7,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","FRA","France","2012","2012",38,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","FRA","France","2013","2013",39.2,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","FRA","France","2014","2014",37.3,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","FRA","France","2015","2015",38.6,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","FRA","France","2016","2016",38.7,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","FRA","France","2017","2017",38.8,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","FRA","France","2018","2018",38.8,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","FRA","France","2019","2019",34.1,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","FRA","France","2020","2020",36.2,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DEU","Germany","2010","2010",49.9,"B","Break"
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DEU","Germany","2011","2011",48.8,,
"FOODSUCR","Sugar supply","KGPPERNB","Kilos per capita per year","DEU","Germany","2012","2012",47.4,,
