"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2010","2010",1478.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2011","2011",1513.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2012","2012",1486.9,"B","Break"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2013","2013",1504.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2014","2014",1503.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2015","2015",1546.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2016","2016",1596.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2017","2017",1587.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2018","2018",1573.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2010","2010",5060,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2011","2011",4885,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2012","2012",4803,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2013","2013",4690,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2014","2014",4418,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2015","2015",4511,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2016","2016",4397,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2017","2017",4181,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2018","2018",4125,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2019","2019",3755,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2010","2010",749,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2011","2011",725,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2012","2012",646,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2013","2013",605,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2014","2014",566,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2015","2015",555,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2016","2016",563,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2017","2017",545,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2018","2018",567,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DNK","Denmark","2019","2019",529,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2010","2010",1342,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2011","2011",1285,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2012","2012",1193,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2013","2013",1107,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2014","2014",1137,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2015","2015",1101,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2016","2016",1124,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2017","2017",1152,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2018","2018",1095,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","FRA","France","2019","2019",1106,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2010","2010",4623,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2011","2011",4888,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2012","2012",4779,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2013","2013",4639,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2014","2014",4810,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2015","2015",4816,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2016","2016",4817,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2017","2017",4722,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2018","2018",4777,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","DEU","Germany","2019","2019",4624,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2010","2010",750,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2011","2011",348,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","NLD","Netherlands","2012","2012",330,,
