"","Country","Year","am","le","sugkilospc","frukilospc","vegkilospc","pctdailysmokers","alcliterspc","obspct","pollutpoppct","feelsafepct","healthexppc","expperle","extdeathper100k","system"
"1","Australia",2010,170,81.7,131,80.4,98.8,15.3,10.4,19.5,0.004,63.5645116933413,3593.395,43.9828029375765,42.5,"Other"
"2","Australia",2011,168,81.9,129.5,74.2,93.3,13,10.2,19.5,0.004,63.8944604036633,3809.112,46.509304029304,43.4,"Other"
"3","Australia",2012,161,82,129.6,75.9,96.4,13,10,19.5,0.004,65.3909047822699,3854.19,47.0023170731707,43.1,"Other"
"4","Australia",2013,160,82.1,129.7,73.5,101.9,13,9.9,19.5,0.004,66.667221192361,4087.849,49.7910962241169,41.4,"Other"
"5","Australia",2014,162,82.3,43.9,71,86.7,13,9.7,19.5,0.004,62.344327747568,4556.492,55.3644228432564,45,"Other"
"6","Australia",2015,162,82.4,42.5,70.8,90,13,9.8,19.5,0.004,62.6428746323793,4776.158,57.9630825242718,46.4,"Other"
"7","Australia",2016,156,82.4,44.1,76.8,93.5,12.4,9.5,19.5,0.004,65.9532255158368,5037.266,61.1318689320388,45.6,"Other"
"8","Australia",2017,154,82.5,43.3,75.4,94,13,9.5,19.5,0.004,61.8496394653416,5074.653,61.5109454545455,45.8,"Other"
"9","Australia",2018,151,82.7,41.7,70.6,89.9,13,9.9,19.5,0.004,64.9190124540153,5190.886,62.7676662636034,45.5,"Other"
"10","Australia",2019,156,82.9,41.2,65.5,86.2,11.2,9.9,19.5,0.004,64.310970685097,5126.653,61.8414113389626,47.9,"Other"
"11","Canada",2010,202,81.4,93.4,94.8,104.7,16.3,8.4,17.5,11.481,80.5432726563541,4145.628,50.9290909090909,48.5,"Single"
"12","Canada",2011,198,81.6,93.2,96.1,107.6,15.7,8.2,17.7,5.572,79.4121254573082,4217.457,51.6845220588235,47.8,"Single"
"13","Canada",2012,195,81.8,93.1,97.3,109,16.1,8.3,17.7,6.081,84.0149625515146,4334.182,52.9851100244499,47.7,"Single"
"14","Canada",2013,193,81.8,93.1,99.3,105,14.9,8.2,18.2,1.767,76.0188943234545,4427.499,54.1259046454768,48.1,"Single"
"15","Canada",2014,191,81.9,93.5,96.1,105.4,14,8,19.6,2.215,79.6826384489809,4536.627,55.3922710622711,50.4,"Single"
"16","Canada",2015,188,81.9,93.1,93.1,103.4,13.1,8,19.2,1.21,81.6839778136284,4633.159,56.570927960928,48.1,"Single"
"17","Canada",2016,184,82,90.4,99.4,104.8,12.5,8.1,19.7,0.193,81.4452483298605,5043.699,61.5085243902439,46.9,"Single"
"18","Canada",2017,184,81.9,84.3,97,101.9,12,8.2,19.8,1.828,83.5571466250777,5171.553,63.1447252747253,50.4,"Single"
"19","Canada",2018,174,81.9,56.5,96.9,101.6,11.3,8.2,19.7,1.497,82.1383849672031,5337.4,65.1697191697192,46.6,"Single"
"20","Canada",2019,171,82.3,50.5,94.9,101.3,10.3,8,20.4,1.767,81.4245327165589,5222.644,63.4586148238153,47.7,"Single"
"21","Denmark",2010,238,79.3,54.4,81.3,111.4,20.9,10.8,13.4,97.494,79.4732700439343,4265.601,53.7906809583859,37.4,"Single"
"22","Denmark",2011,221,79.9,56.8,77.3,110.7,17.2,11,15.6,98.991,78.7141950830339,4266.254,53.3949186483104,38.9,"Single"
"23","Denmark",2012,217,80.2,55.5,59,98.9,17.2,9.8,15.6,77.026,79.5575772061877,4426.627,55.1948503740648,37.1,"Single"
"24","Denmark",2013,207,80.4,56.2,59,96.7,17,10,14.2,68.03,79.7115177274817,4517.248,56.1846766169154,36.1,"Single"
"25","Denmark",2014,202,80.7,54.8,58.9,97.5,17.2,10.1,14.9,80.751,80.3732580365175,4589.765,56.8744114002478,35.5,"Single"
"26","Denmark",2015,198,80.8,54.9,58,93.4,17.2,9.9,15.6,58.894,85.2004561059854,4719.382,58.4081930693069,33,"Single"
"27","Denmark",2016,199,80.9,54.9,56.9,97.4,17.2,10,15.6,20.933,83.3970373686659,4894.079,60.4954140914709,34.7,"Single"
"28","Denmark",2017,188,81.1,55.3,59.6,101.4,16.9,9.7,16.8,65.621,81.8611111351092,5112.959,63.0451171393342,34,"Single"
"29","Denmark",2018,180,81,56,61.7,104.2,17.2,9.7,15.6,41.147,87.058435207036,5306.704,65.5148641975309,34.1,"Single"
"30","Denmark",2019,180,81.5,54.4,59.3,96,17.2,9.5,15.6,36.413,87.5428633791666,5359.776,65.7641226993865,36.2,"Single"
"31","France",2010,185,81.9,38,74.2,102.6,29.7,12.3,12.9,95.21,64.8084543739716,4045.065,49.390293040293,55.6,"Single"
"32","France",2011,181,82.3,37.7,80,99,27.1,12.4,14.5,95.774,62.7548269923654,4161.698,50.5674119076549,53.9,"Single"
"33","France",2012,174,82.1,38,72.7,97.9,27.1,12.2,14.5,92.406,67.117722665576,4299.434,52.3682582216809,52.2,"Single"
"34","France",2013,170,82.4,39.2,79.3,96.9,27.1,11.6,14.5,92.082,67.0551534463611,4541.522,55.1155582524272,50,"Single"
"35","France",2014,164,82.9,37.3,80.2,94.8,28.5,12,15.3,71.802,69.700783496182,4628.775,55.8356453558504,48.1,"Single"
"36","France",2015,164,82.4,38.6,78.6,93.2,29.4,11.9,14.5,82.122,70.6077856837291,4670.174,56.6768689320388,51.6,"Single"
"37","France",2016,164,82.7,38.7,91.8,100.7,29.4,11.7,14.5,71.933,68.3495586196838,4921.818,59.514123337364,49.8,"Single"
"38","France",2017,160,82.7,38.8,93.9,101.8,26.9,11.7,15.4,67.486,72.6857441140943,5004.495,60.5138452237001,50,"Single"
"39","France",2018,170.2,82.8,38.8,82.9,99.1,25.4,11.6,14.5,71.593,73.4827145632022,5097.228,61.5607246376812,51.4,"Single"
"40","France",2019,170.2,83,34.1,86.7,95.8,24,11.4,14.4,69.267,74.0523350345763,5163.421,62.2098915662651,51.4,"Single"
"41","Germany",2010,212,80.5,49.9,61,80.6,18.1,11.6,16.2,99.598,74.8752176498276,4423.07,54.9449689440994,36.3,"Other"
"42","Germany",2011,209,80.6,48.8,64.4,85.5,18.1,11.3,16.2,99.612,77.3784351100991,4566.663,56.6583498759305,35.4,"Other"
"43","Germany",2012,205,80.7,47.4,64.8,87.8,18.1,11.3,16.2,98.283,78.9472104842619,4745.53,58.80458488228,34.7,"Other"
"44","Germany",2013,208,80.6,48.3,65.7,83.6,20.9,11.1,15.7,98.646,75.7552141846681,4951.934,61.4383870967742,36.2,"Other"
"45","Germany",2014,199,81.2,49,70.5,90,18.1,11.1,16.2,91.929,79.6458452821897,5153.434,63.4659359605911,36.1,"Other"
"46","Germany",2015,204,80.7,49.3,75.8,88.4,18.1,11.1,16.2,95.464,74.6005945561992,5299.105,65.6642503097893,37.2,"Other"
"47","Germany",2016,200,81,47.5,76.5,91.8,18.1,11,16.2,88.317,73.315283539992,5673.733,70.0460864197531,38.3,"Other"
"48","Germany",2017,196,81.1,46.5,70.7,94.7,18.8,10.9,16.3,87.046,69.4562938531306,5976.472,73.6926263871763,39.1,"Other"
"49","Germany",2018,196,81,44.2,78.1,89.8,18.1,10.9,16.2,88.721,74.4620126817827,6290.078,77.6552839506173,40.2,"Other"
"50","Germany",2019,188,81.3,43.7,77.3,88.3,18.1,10.6,16.2,86.831,71.3192348894188,6418.323,78.9461623616236,39.7,"Other"
"51","Netherlands",2010,185,81,47.1,90.8,57.3,20.9,9.1,11.4,99.978,72.1900226765245,4474.53,55.2411111111111,35.8,"Other"
"52","Netherlands",2011,180,81.3,45.5,102.8,61.6,20.8,9,11.4,99.981,79.0199641310165,4567.378,56.1793111931119,35.9,"Other"
"53","Netherlands",2012,178,81.2,45.4,92.6,53.8,18.4,9.1,12,99.945,77.2528114342413,4782.333,58.8957266009852,38.2,"Other"
"54","Netherlands",2013,171,81.4,44.5,107.3,58.5,18.5,8.7,11.1,99.795,80.4694507783574,4923.912,60.4903194103194,38.3,"Other"
"55","Netherlands",2014,162,81.8,43.8,106.6,57.1,19.1,8.4,13.3,99.702,80.8934407401572,4934.568,60.3247921760391,39.8,"Other"
"56","Netherlands",2015,166,81.6,45.5,112.2,63.5,19,8.3,12.8,99.628,80.5121891919355,4927.104,60.3811764705882,41.6,"Other"
"57","Netherlands",2016,165,81.7,44.6,110.2,66.3,18,8.2,13.6,94.664,82.130903129202,5095.836,62.3725336597307,43.5,"Other"
"58","Netherlands",2017,158,81.8,45.7,94,64.2,16.8,8.3,13.4,99.583,83.3995655396682,5253.774,64.2270660146699,44.1,"Other"
"59","Netherlands",2018,155,81.9,37.6,100,66.6,15.5,8.3,14.4,99.065,84.6078435696207,5482.27,66.9385836385836,45,"Other"
"60","Netherlands",2019,149,82.2,47.4,100.7,87.4,15.4,8.2,14.1,98.598,80.1044367652836,5643.59,68.6568126520681,43.1,"Other"
"61","Norway",2010,186,81.2,46.4,80.6,68.4,19,6.6,12.8,20.056,89.7,4777.14,58.8317733990148,51.4,"Single"
"62","Norway",2011,179,81.4,46.1,80.3,68.4,17,6.4,12.8,30.622,89.7,4965.184,60.9973464373464,51.9,"Single"
"63","Norway",2012,174,81.5,45.6,80.4,69.1,16,6.2,10,6.3,86.7662989744162,5209.577,63.9211901840491,47.8,"Single"
"64","Norway",2013,168,81.8,45.5,80.8,72.2,15,6.2,12.8,5.232,89.7,5485.874,67.0644743276284,50,"Single"
"65","Norway",2014,160,82.2,44.8,81.4,74.5,13,6.1,12.8,5.232,85.9619113054881,5707.377,69.4328102189781,49.7,"Single"
